time,acc_z,acc_y,acc_x,or_qz,or_qy,or_qx,or_qw,or_roll,or_pitch,or_yaw,Class
2023-10-21 17:02:53.600,4.924216270446777,3.8118529319763184,8.843189239501953,0.5435333847999573,0.0533647201955318,0.2127063125371933,0.8102343678474426,-0.158805713057518,-0.4144591689109802,-1.2152211666107178,0
2023-10-21 17:02:53.660,-0.6757341623306274,2.4696507453918457,1.5828771591186523,0.5665348172187805,0.0802505239844322,0.3491198718547821,0.7421007752418518,-0.3560703694820404,-0.6549173593521118,-1.426165223121643,0
2023-10-21 17:02:53.680,0.7174839973449707,4.0380401611328125,0.9794816970825196,0.568081259727478,0.0812655687332153,0.3559536933898926,0.737547755241394,-0.3701107501983642,-0.6654289364814758,-1.441841959953308,0
2023-10-21 17:02:53.700,-2.8873698711395264,3.853030204772949,0.0430536270141601,0.5873937010765076,0.0833183601498603,0.4134361445903778,0.6907223463058472,-0.5220115184783936,-0.7328901886940002,-1.613758563995361,0
2023-10-21 17:02:53.730,0.0865993499755859,-0.9813926815986632,-3.744025230407715,0.6119005680084229,0.0771974101662635,0.4752337038516998,0.6275119185447693,-0.7348288893699646,-0.7627385854721069,-1.8518736362457275,0
2023-10-21 17:02:53.750,-1.8879120349884035,1.0029785633087158,-1.5692977905273438,0.6119005680084229,0.0771974101662635,0.4752337038516998,0.6275119185447693,-0.7348288893699646,-0.7627385854721069,-1.8518736362457275,0
2023-10-21 17:02:53.810,-0.2423338890075683,-1.253768801689148,-1.5854697227478027,0.6812495589256287,0.0277836881577968,0.5649364590644836,0.4647300839424133,-1.119920015335083,-0.5979401469230652,-2.3259942531585693,0
2023-10-21 17:02:53.830,1.2656149864196775,-0.3004743456840515,0.8877143859863281,0.6812495589256287,0.0277836881577968,0.5649364590644836,0.4647300839424133,-1.119920015335083,-0.5979401469230652,-2.3259942531585693,0
2023-10-21 17:02:53.850,1.0574491024017334,-1.933044672012329,0.1561002731323242,0.7036084532737732,0.0171885080635547,0.5920817255973816,0.3925289511680603,-1.2217912673950195,-0.5109503269195557,-2.485635757446289,0
2023-10-21 17:02:53.910,0.4740521907806396,-0.4957623481750488,3.162714958190918,0.7506564855575562,-0.0827262625098228,0.6020253300666809,0.2593007087707519,-1.3013572692871094,-0.1891388446092605,-2.620561122894287,0
2023-10-21 17:02:53.960,-0.1891067028045654,-1.2027965784072876,1.6742181777954102,0.7617272138595581,-0.0986945554614067,0.5962962508201599,0.2333709895610809,-1.2957276105880735,-0.1283116489648819,-2.6441783905029297,0
2023-10-21 17:02:53.980,-1.708993673324585,0.0928483307361602,1.714655876159668,0.762602686882019,-0.09991455078125,0.5957942008972168,0.2312652915716171,-1.2951534986495972,-0.1234965100884437,-2.646168708801269,0
2023-10-21 17:02:54.000,-1.0162607431411743,1.351199507713318,0.6273031234741211,0.768105149269104,-0.1064044311642646,0.5940978527069092,0.2138699293136596,-1.2947288751602173,-0.0907844081521034,-2.667130708694458,0
